nonprofit_name,url,mission_vision_services,causes,phone,email,website,address,city,state,hours,ein,scraping_status
Creative Parks Nashville,https://www.givingconnection.org/locations/274,"Mission: Creative Parks Nashville (CPN) provides community based leadership to Metro Nashville Parks and Recreation's Music, Theater, & Visual Arts divisions. CPN supports these divisions in their efforts to provide educational arts related activities and diverse cultural events for the Greater Nashville area. Vision: CPN provides funding with community-based, volunteer leadership, in collaboration with Metro Parks Music, Theater and Visual Arts Divisions. The funds raised have a direct impact by supporting the creation of an artistic, inclusionary atmosphere. CPN’s goal is to support accessible and affordable programing at Centennial Performing Arts Studios, Centennial Art Center and the 28 Metro Parks Community Centers throughout Davidson County. Keeping Metro Parks Cultural Arts programming accessible is one of the key functions of partnership that CPN performs. By fundraising and managing resources, CPN seeks to provide supplementary funding for Metro Parks Music, Theater and Visual Arts programs to help programs stay affordable or through providing accessibility scholarships when available. Services: Creative Parks Nashville (CPN) hosts approximately 16 assorted Cultural Arts (Music, Theater, and Visual Arts) workshops each year ranging from calligraphy, watercolor, pottery and sculpture, to youth JamBand and instrumental lessons, to improv theater and production. These workshop events are held at Metro Parks Centennial Art Center, Centennial Performing Arts Studios, or the West Park Community Center and are in addition to the regular weekly classes offered by Metro Parks Cultural Arts Division.",Arts & Culture,615-364-3527,contact@creativeparksnashville.org,https://creativeparksnashville.org/,"526 Hickory Trail Drive, Nashville, TN, USA",Nashville,TN,No Set Business Hours - Call to Inquire,,success
Blood:Water Mission,https://www.givingconnection.org/locations/288,"Mission: Blood:Water is an international nonprofit that partners with African community-driven organizations to end health disparities caused by the HIV/AIDS and water crises. Services: We find, vet, and partner with organizations in East and South Africa that are community-driven and -led. We pair intentional organizational strengthening with flexible financial support. We make an eight-year funding commitment that includes four two-year cycles. During each cycle, we guide the partner through a proven organizational strengthening model in which they identify key organizational needs. We then fund the needs with a flexible grant earmarked for capacity building.","Advocacy, Community & Economic Development, Children & Family Services, International, Health, Philanthropy",(615) 550-4296,bloodwater@bloodwater.org,https://bloodwater.org/,"P.O. Box 60381  Nashville, TN 37206 USA",,,Closed; Mon - Fri10:30 AM -  7:00 PM (EDT); SatClosed; SunClosed,,success
Bridges for the Deaf and Hard of Hearing,https://www.givingconnection.org/locations/291,"Mission: MISSION to build access, equity, and inclusion in partnership with the D/deaf, Deaf-Blind, and Hard of Hearing communities through advocacy, education, empowerment, and effective communication​VISION​ a more just and inclusive world with no barriers. Services: Interpreting Services Bridges for the Deaf and Hard of Hearing offers sign language interpreting services for the Deaf, including Americna Sign Language interpreting, Video Remote Interpreting (VRI), and tactile signing. The agency also offers CART (Communication Access Realtime Translation) services for hard of hearing and those who do not sign. Bridges has also introduced the use of Certified Deaf Interpreters (CDIs). CDIs work in tandem with a hearing interpreter to serve clients who limited or low language to ensure accuracy and safety in the interpretation. The American's with Disabilities Act (ADA) requires reasonable accommodations, including the use of interpreters and transcribers for those who need these services in everyday settings. Youth Education & Services (The Signing ACEs) Youth Education & Services, also known as The Signing Aces (Advocacy, Community, Empowerment) serves youth from first grade through high school. Our after-school program provides intensive literacy support, enrichment activities, and homework assistance. The after-school program also provides a warm and safe home away from home where students are able to share a common experience and the rich heritage of Deaf culture. Youth Education & Services also provides summer camps. Camp Sign Me Up is for hearing students who want to learn ASL, and Camp Rise & Sign is a sleep-away camp for Deaf and hard of hearing students, offering them an authentic camp experience complete with campfires, fireflies, and fun in a fully-language-accessible environment. Little ACEs is new program serving families with infants from birth to 5 where the child and/or parent are Deaf. Little ACEs offers early language intervention and acquisition and promotes and supports healthy family bonding and communication. Adult Education & Outreach Adult Education & Outreach (AEO) offers American Sign Language classes for levels I, II, and III three times a year in addition to offering engaging and informative workshops on Deaf culture, language, and hearing loss and prevention to area businesses, schools, and the community. AEO also offers community-building workshops and activities for the Deaf and hard of hearing communities. Under the umbrella of AOE, our LivingWell health and wellness program provides services in American Sign Language or with transcription as needed. With a beautiful fitness center, Bridges also offers personal training free-of -charge to individuals with any level of hearing loss. An extension of the education and outreach department, the fitness program was designed to deliver classes and provide health and wellness information to Deaf and hard of hearing adults (with the help of interpreters, captioned videos, other devices) who are typically at greater risk than hearing individuals for increased health risks. Empowerment Working under AEO, Empowerment provides critical services such as housing assistance, education advocacy, job training and placement assistance, self-advocacy support, healthcare access, and much more. Advocacy In April 2017, under the leadership of President & CEO Nancy Denning-Martin, the agency claimed its place in macro-level advocacy by inviting the Mayor’s Office, Sheriff’s Department, Metro Nashville Police Department, District Attorney, Public Defender’s Office, Metro Human Relations Commission, General Sessions Court, Juvenile Court, etc. to a meeting to discuss how these large civic systems interact with the Deaf and hard of hearing communities. In November 2017, over 60 people from law enforcement and criminal justice throughout Middle Tennessee and from the Deaf and hard of hearing communities came together to ask and answer questions and to share experiences in a Town Hall forum. Future Town Halls will be offered, bringing the Deaf and hard of hearing communities and other entities together to facilitate discussion, build consensus, and make positive policy change. Bridges for the Deaf and Hard of Hearing continues to provide in-depth trainings to various Metro departments. We also participated in Metro Nashville’s ongoing language access study. In 2017-2018, we will continue our work with criminal justice, while also working on larger issues of education, transportation, and mental health access. On a state-wide level, Bridges is leading initiatives that will create standardized legal/law enforcement and medical/healthcare training presentations, printed materials, and policies that can be used by agencies serving the Deaf and hard of hearing communities throughout Tennessee.","Advocacy, Disability Services, Youth Development",615-248-8828,info@bridgesfordeafandhh.org,http://www.bridgesfordeafandhh.org/,"935 Edgehill Avenue, Nashville, TN 37203, USA",Nashville,TN,Closed; Mon - Fri10:30 AM -  7:00 PM (EDT); SatClosed; SunClosed,,success
Building Lives Foundation,https://www.givingconnection.org/locations/303,"Mission: Our mission is to eliminate homelessness among our country's veterans. We do this by providing assistance to veterans who are on the verge of going homeless through our Homeless Prevention Program. Through Project Advance, our program to transition homeless veterans to sustained independent living, we also seek to reduce the population of veterans who are homeless or incarcerated, by providing the opportunities necessary for a successful re-entry into society to those veterans who have made a decision to change their lives. We do this in gratitude to those who have given so much of themselves to preserve the freedoms we so greatly enjoy. Our mission is to support and service your housing needs by providing first-time homebuyer education, foreclosure counseling and debt management services. Our goal is to preserve homeownership for all individuals and families, regardless of their income. Services: Housing Building Lives provide housing for homeless veterans who have successfully completed transitional living programs (i.e. Operation Stand Down). An individual's income is considered in determining placement thus assuring affordability. We have a partnership with Urban Housing Solutions, First Nashville Realty Management, and one of our board members to provide housing for our participants. We also have a transitional home for men in the Nashville area. Job Placement Building Lives has a partnership with StaffMark and Prologistix to assist in placing our clients in jobs. We also utilize the state employment centers and contact many other corporations seeking employment opportunities. Employment is the key component to the successful transition for individuals from the ranks of the homeless or the recently incarcerated. Over the years, we have established a comprehensive group of partners who will hire our clients. These partners include: Home Depot, Midas, Mrs. Grissom's Salads, Dollar General, Demo's, Waffle House, and approximately 50 other corporations. Car Ownership and Asset Development Each participant must have reliable transportation in order to increase the probability for job retention. A creative program has been developed that allows each participant to purchase a car in an affordable way. Car Plus/Midas shops repair any found problems. Repayment is made with no interest charged. Payments are no more than $200/month for 12 to 18 months. Personal Assistance Building Lives provides up to $1,500 per participant for personal needs in the first 8 weeks of assistance. This includes meeting needs such as: furniture, home furnishings, rent, utilities, and food. While Building Lives addresses a number of basic needs, one primary emphasis is building the individual's ""community"". Re-connecting with family, becoming active in a church of their choice, and joining organizations with similar interests are all important in the individual's journey. Clothing Building Lives helps participants get appropriate clothing through partnerships with Churches or by purchases for the client at Thrift Smart, Goodwill, or Salvation Army. Transitional Housing Program Building Lives operates a transitional housing program named The Academy. The property, located 3541 Wood Bridge is leased by The Academy. Maximum capacity is 11 beds, and there is a full-service kitchen that provides three meals per day for the residents and staff. The residents are referred to us by VA, Street Works, TBOP, and other organizations who interact with the homeless in the Nashville and surrounding area. Upon successful completion of a 30-day probationary period, residents are provided a small stipend, and if able, are assigned to one of several work crews. The Academy is a ""work therapy"" program designed to get the men back into a responsible work routine while re-acquiring employable skills. Typical time spent in this program is from 8 to 12 months with some staying as long as 2 years. When appropriate, individuals are placed in outside jobs and with help and assistance, begin to prepare for the transition to independent living. This includes support in preparing resumes, setting up interviews with potential employers, helping them acquire an automobile, and helping them get established in a furnished apartment. They will remain in contact with Building Lives staff and volunteers as they begin to assume more and more responsibility for their future success. Homeless Prevention The Homeless Prevention program identifies veterans who are on the verge of losing their permanent residence. Once the situation is verified through an eviction notice, foreclosure notice, or notice from utility company of cut off, then financial assistance is provided to prevent the imminent loss of home. A case worker/resource coordinator is assigned to work with the client for up to a year to address issues, provide financial training, and provide opportunities/options that will stabilize their situation.","Employment, Housing & Homelessness, Veteran & Military",(615) 678-4967,jeff@wearebuildinglives.org,https://www.wearebuildinglives.org/,"2000 Mallory Ln suite 130 166, Franklin, TN 37067, USA",Franklin,TN,Closed; Mon - Fri10:00 AM -  6:00 PM (EDT); SatClosed; SunClosed,,success
Gordon Jewish Community Center,https://www.givingconnection.org/locations/305,"Mission: The Gordon Jewish Community Center welcomes all, builds community, and provides excellent programs rooted in Jewish values to enrich the mind, body, and spirit. Services: In these uncertain and unprecedented times, we are here for you. The Gordon JCC is a special place that welcomes all, builds community, and provides excellent programs rooted in Jewish values to enrich the mind, body, and spirit. Within our walls, and in your own, members gather together to meet, play, learn, celebrate, and be part of the community.","Community & Economic Development, Children & Family Services, Education, Faith-Based, Sports & Recreation, Youth Development",(615) 356-7170,info@nashvillejcc.org,http://www.nashvillejcc.org/,"801 Percy Warner Blvd, Nashville, TN, USA",Nashville,TN,Closed; Mon - Fri7:30 AM -  9:15 PM (EDT); Sat10:00 AM -  6:45 PM  (EDT); Sun10:00 AM -  6:45 PM  (EDT),,success
Nashville Songwriters Foundation Inc.,https://www.givingconnection.org/locations/313,"Mission: To honor Nashville's rich legacy of songwriting excellence through preservation, celebration and education. Vision: Induction into the Nashville Songwriters Hall of Fame (NaSHOF) is one of the nation’s highest songwriting achievements. Since 1970, the hall has enshrined some of the greatest writers ever to put words to music in Music City. Operated by the non-profit Nashville Songwriters Foundation, the Hall of Fame is dedicated to honoring Nashville’s rich songwriting legacy through preservation, celebration and education. Services: Express Yourself After-school songwriting program at J.T. Moore Middle School in Green Hills, Bellevue Middle School in Bellevue, West End Middle School in West End and John F. Kennedy Middle School in Antioch. Songs & Stripes Therapeutic songwriting retreats for military veterans and emergency first responders co-hosted with the Operation Song organization. Wayland Holyfield Speaker Series Interactive presentations for high-school and college students by Hall of Fame songwriters.",Arts & Culture,(615) 460-6556,mail@nashvillesongwritersfoundation.com,http://nashvillesongwritersfoundation.com/,"1600 Division Street ste 225, Nashville, TN 37203, USA",Nashville,TN,No Set Business Hours - Call to Inquire,,success
Operation Rose,https://www.givingconnection.org/locations/314,"Mission: Our mission is to educate and create actionable solutions to preventing and combating human trafficking in Tennessee. Vision: Operation Rose is a nonprofit organization that is actively educating, preventing, and combating human trafficking in the United States. The organization was founded in January 2021, in support of Human Trafficking Awareness Month, by Robert Young who is the founder of Covert Results, a private investigations, and security firm. The foundation headquarters is in Nashville, Tennessee. Operation Rose takes human trafficking training to a greater level. By working with the hospitality industry in Nashville, Operation Rose trains any and every hotel with live and in person training on the signs and indicators of human trafficking, so that each department will be able to recognize and prevent human trafficking. Operation Rose also provides informational signage and hallmark branding for hotels to show that they are properly trained to fight human trafficking. Services: Operation Rose fights human trafficking right where it happens; the hospitality industry. Operation Rose takes human trafficking training to a greater level. By working with the hospitality industry in Nashville, Operation Rose trains any and every hotel with live and in person training on the signs and indicators of human trafficking, so that each department will be able to recognize and prevent human trafficking. Operation Rose also provides informational signage and hallmark branding for hotels to show that they are properly trained to fight human trafficking. SCHEDULE A WORKSHOP Operation Rose provides a free, two hour, live and in-person workshop titled 'Workshop Against Neighborhood Trafficking: Educating, Preventing, Combating.' Visit the website to schedule.","Advocacy, Emergency & Safety",,connect@operationrose.org,https://operationrose.org/,"PO Box 290006  Nashville, TN 37229",PO Box 290006 Nashville,TN,No Set Business Hours - Call to Inquire,,success
Missions Development International,https://www.givingconnection.org/locations/321,"Mission: MDI believes in impacting the Kingdom by mentoring, equipping and consulting with Christian leaders and their ministries, who have the potential to transform their cultures. MDI exists to help leaders with the things that keep them up at night so that they can focus on their mission. Vision: MDI’s vision is to see ministry leaders thriving. Services: MDI is known for being Spirit-led, trusted, compassionate, strategic, invested and intentional. It is through these bedrocks that we serve ministry leaders. We believe God has strategically placed leaders around the world to care for His people and many of these leaders are isolated in their circumstances and lack access to resources. MDI builds trusting relationships with these leaders by coming alongside them to mentor, consult and equip them to achieve God's calling on their lives.","Advocacy, Community & Economic Development, Education, Faith-Based, International",(615) 208-6341,mdi@MDImentors.org,https://mdimentors.org/,"326 21st Ave N suite 203, Nashville, TN 37203, USA",Nashville,TN,By Appointment Only; Mon - FriClosed; SatClosed; SunClosed,,success
STARS Nashville,https://www.givingconnection.org/locations/341,"Mission: Our mission is to help young people pursue their unlimited potential by providing hope, health, and connection. Vision: Helping young people pursue their unlimited potential by providing HOPE, HEALTH, & CONNECTION. Services: Student Assistance Program (SAP) STARS provides many levels of student prevention services, including universal prevention aimed at broad student populations, selective and indicated services targeted for at-risk students, & indicated for students already engaged in substance use and/or violence. STARS SAP was recognized by SAMHSA's Nationa Registry of Evidence based Programs and Practices (NREPP). Service components of the program include health promotion for the general student body; attention to students who are at special risk for substance abuse, teen pregnancy, violence/bullying, academic failure, school suspension, or dropping out; and early problem identification, referral, and intervention for students exhibiting problem behaviors. SAP is in the very early stages of planning an Enhanced SAP to serve students whose needs exceed what is currently being offered. Kids on the Block (KOB) Kids on the Block's mission is to educate children & the community about health & social concerns. Using puppets & other tools, KOB promotes understanding & acceptance of all children & adults regardless of differences. KOB addresses psycho-social problems, (prejudice ,bullying ,learning differences, child abuse social & personal problems, substance abuse.) Programs include: Sticks & Stones-how words can hurt/promotes caring & respect; Awareness of Differences- promotes understanding of all persons; Child Abuse Prevention-helps students to identify child abuse/ neglect -promotes talking to trusted adults; ; Be A Hero-Identifies and explains various forms of bullying and introduces alternatives to violence. The program integrates best practices around bullying prevention. KOB is also piloting a literacy program to help Tier 2 students strengthen their reading ability and enjoyment. Preliminary results have been outstanding! Trainings Nationally recognized, STARS' Executive Director, Rodger Dinwiddie, trains entire school districts and systems in the areas of substance abuse, violence and bullying prevention and intervention, as well as Student Assistance Program implementation and Restorative Practices. STARS has staff who have been professionally trained in the evidence-based Olweus Bullying Prevention Program, and Restorative Practices. Dinwiddie, a certified master level trained national expert in Olweus, provides support and consultation to schools across the country. MOVE 2 STANDThe goal of this program is to engage student athletes and leaders to address the common issues schools experience through bullying, harassment, racism, violence and other social pressures that contribute to negative school climate and school culture. M2S has enhanced positive school relations across the state and in other states as well.Building Strong(er) Working RelationshipS helps adults have crucial conversations with others in life, be that at work, home, school, or community. Restorative Practices: This Whole school change program includes 11 essential elements: Affective statement, restorative questions, fair process, small impromptu conferences, proactive circles, responsive circles, and restorative conferences. Other Trainings: STARS offers a myriad of trainings covering topics from Suicide prevention intervention, postvention; Abuse prevention; strengthening families; work relationships, bullying prevention and more. Youth Overcoming Drug Abuse (YODA) Youth Overcoming Drug Abuse (YODA) is an intensive outpatient program of STARS for adolescents with substance use disorder and co-occurring disorders. YODA provides gender-specific treatment with separate groups for males and females. We believe people can recover. We do not give up. Gender-Specific Intensive Outpatient Treatment Programs Services are free to youth ages 13 to 18 who are Tennessee residents and are uninsured or have insurance that will not pay for treatment. Length of program is based on individual needs. Our model is person-centered and based on evidence-based therapeutic models that are responsive to the particular needs of young females and males. Clinical Services Court-ordered or self-referred assessments are 9 a.m. to 5 p.m. On-site evaluation may be provided at school or while the young person is in detention with parental consent. Services for Students Who Are Deaf or Hard of Hearing (DHH)","Disability Services, Drug & Alcohol Treatment, Youth Development",615-279-0058,development@starsnashville.org,https://starsnashville.org,"1704 Charlotte Avenue suite 200, Nashville, TN 37203, USA",Nashville,TN,Closed; Mon - Fri10:00 AM -  7:00 PM (EDT); SatClosed; SunClosed,,success
"The Integrity Foundation, Inc.",https://www.givingconnection.org/locations/351,"Mission: The mission of BBB Integrity Foundation is to provide our community with educational programs supporting better business, personal integrity, and smart consumerism. Vision: Better Business Bureau serving Middle TN & Southern KY works to promote high standards of business ethics, and one way we strive to help local businesses operate in that mindset is through the BBB Integrity Foundation. Services: Student of Integrity The BBB Integrity Foundation annually recognizes outstanding high school students through the Student of Integrity Scholarship program. This program recognizes seniors who personify high ethics as demonstrated through leadership, community service, overall personal integrity and academic history. Scholarships are awarded on behalf of the recipients to an accredited college or university. Students are the future business owners and managers of tomorrow. The BBB Integrity Foundation’s Board of Directors is committed to the belief that identifying and honoring high school students for character, integrity, and ethical conduct are important roles in fostering its mission of promoting ethics in the marketplace. Secure Your Identity BBB and its partners provide Shred Days as free community events to help community members keep their identities secure. These events take place each spring and fall throughout Middle Tennessee and Southern Kentucky. Events are typically held in Nashville, Clarksville, Murfreesboro, Franklin, and Cookeville the Saturday after Tax Day and again in the fall. Businesses and residents are welcome to participate and are encouraged to bring outdated, high risk documents including cancelled checks, old credit card statements, free credit card offers and tax records. Trainings & Workshops BBB Integrity Foundation provides numerous educational programs, totaling over 15,000 participants annually throughout the Middle Tennessee and Southern Kentucky service areas. Our delivered trainings include multiple topics such as: identity theft awareness, scams against seniors, ethical leadership, business etiquette, customer service best practices, student work-force readiness skills, and much more. Small Business Grant Program The Small Business Grant Program in Honor of B.J. Howard was launched in 2020 to offer financial support to accredited small businesses who had been financially impacted by the March 2020 Middle Tennessee Tornadoes, COVID-19 pandemic, and the floods in 2021.",Community & Economic Development,615-242-4222,info@gobbb.org,https://www.bbbintegrityfoundation.org/,"25 Century Blvd ste 101, Nashville, TN 37214, USA",Nashville,TN,Closed; Mon - Fri10:30 AM -  5:30 PM (EDT); SatClosed; SunClosed,,success
Dreams and Wishes of Tennessee,https://www.givingconnection.org/locations/367,"Mission: Dreams and Wishes of Tennessee's mission is to grant wishes to individuals ages 5-21 that have relapsed from cancer. We also grant wishes to young adults 18-21 that have a first time cancer diagnosis. We will grant a wish to any child that meets our eligibility criteria in any of the 95 counties in the state of Tennessee. Currently, there are only a handful of foundations across the world that offer a second wish to a child and we are the only foundation in Tennessee that provides a second wish to a child who has relapsed. Vision: Your support is important to the children and families we connect with at Dreams and Wishes of Tennessee. We offer several ways that you can become a part of what we do every day. Services: Wish Granting Dreams and Wishes of Tennessee will grant a wish to each eligible child between the ages of 5-17 that have relapsed from a cancer diagnosis and each eligible young adult ages 18-21 that have a new cancer diagnosis. We do not discriminate by race, religion or socioeconomic status. Eligibility is determined by the patient's physician. Referrals are accepted from medical professionals, family members or the child themselves.",Children & Family Services,615-243-3433,tanya@dreamsandwishesoftn.org,https://www.dreamsandwishesoftn.org/,"PO Box 8383  Hermitage, TN 37076 USA",,,No Set Business Hours - Call to Inquire,,success
Equal Chance for Education,https://www.givingconnection.org/locations/386,"Mission: Our mission is to provide opportunities for higher education without regard to race, religion, or nation of birth. Vision: Our organization aims to accept all of the qualified applicants into our program to receive: 1. scholarship support to the TN university of their choice 2. strong mentorship throughout college and as they enter the workforce 3. external support such as 24/7 access to call our staff for help/advise 4. an immigration attorney on retainer Services: Our mission is to enable opportunities for higher education without regard to race, religion, or nation of birth by by offering scholarships to ""DREAMers"" in Nashville, TN who are not eligible for student loans or financial aid because of their legal status.","Education, Immigrant & Refugee",(713) 208-7595,equalchanceeducation@gmail.com,https://www.equalchanceforeducation.org/,"73 White Bridge Rd, #103,  Nashville,  TN 37205,  USA",Nashville,TN,No Set Business Hours - Call to Inquire,,success
Casa De La Cultura Latino Americana,https://www.givingconnection.org/locations/398,"Mission: The mission of the Casa de la Cultura Latino Americana is to promote, rescue and preserve the identity and culture of the countries of Latin America, serving the neglected, excluded and forgotten communities of Central Tennessee that lack a cultural offer, through educational, artistic and cultural programs. Vision: To be the leading organization in the cultural sector in Central Tennessee with strengths that trace, coordinate and promote our cultural heritage and identity, guaranteeing access to the enjoyment and learning of our values, thus contributing to raising the quality of life of the community. Contribute to projecting the diversity and plurality of Latino culture and identity through dissemination and information actions. Consolidate the House of Latin American Culture as an open and plural space for community and artistic development. Services: Empowering immigrants teaching American civics, promoting and and educating community through cultural events. Were over 1200 people participated collaborating and attending. Education and Career Advancement for 141 persons by securing and promoting a path for Elem/Secon, literacy education, earn/pass HiSET (GED), opportunities to attend. Provide, utilizing professionals, legal assistance and education for immigrant to ensure compliancy with the law of the land.","Arts & Culture, Community & Economic Development, Education, Employment, Immigrant & Refugee, Justice & Legal Services",(615) 669 1785,contact@casadelaculturanashville.org,https://casadelaculturanashville.org/,"2929 Selena Dr, Nashville, TN, USA",Nashville,TN,Closed; Mon6:00 PM - 10:00 PM  (EDT); Tue6:00 PM - 10:00 PM  (EDT); Wed6:00 PM - 10:00 PM  (EDT); Thu6:00 PM - 10:00 PM  (EDT); FriClosed; SatClosed; SunClosed,,success
Civic TN,https://www.givingconnection.org/locations/410,"Mission: CivicTN’s mission is to strengthen the collective impact of, and collaboration between, nonprofit 501(c)(3) community and advocacy organizations that empower the rising American electorate in our state. In Tennessee, the “Rising Electorate” is Black, Latinx, New Americans, low-income families, single women and young voters. Vision: CivicTN is a civic engagement coalition that envisions a future where underrepresented communities of color, single women and young people — the rising American electorate — have a greater voice and influence in shaping state policy and choosing leaders who affect their lives. Services: When we leverage the relationships 501(c)(3) organizations have built over the years in communities who trust them, we can begin to see meaningful progress. In fact, studies show that people are much more likely to vote when asked to do so by a trusted nonprofit. When nonprofits encourage the people they serve to vote, they’re building political power to solve the key issues they care about. CivicTN is setup to develop data-driven strategies and provide best-practice trainings that increase member efficiency for better get-out-the-vote operations as well as strengthen their community organizing programs. Our team will work to provide nonprofit community members with current best practices, data analysis, fundraising and grassroots organizing as its relate to civic engagement. Additionally, these efforts build a stronger pipeline of talent to lead civic engagement and nonprofit work that affects meaningful and positive change. Programs: * The Proud Voter Challenge * Census 2020 (http://www.countmeintn.org/) * Redistricting Transparency * COVID-19 THE PROUD VOTER CHALLENGE: a project of Tennessee’s Civic Engagement Coalition, CivicTN. We’re committed to increasing the diversity and number of Tennesseans represented and heard in their democracy.","Advocacy, Community & Economic Development, Research & Public Policy",,team@civictn.org,https://civictn.org/,"5016 Centennial Blvd, Nashville, TN 37209, USA",Nashville,TN,No Set Business Hours - Call to Inquire,,success
Community Resource Center,https://www.givingconnection.org/locations/418,"Mission: The Community Resource Center's mission is to provide critical essential items to our most vulnerable Middle Tennessee neighbors, both during times of disaster and during seasons of ongoing need. Services: Basics in Bulk Through the Basics in Bulk program, the CRC provides bulk monthly hygiene and household cleaning products to a network of 300+ vetted nonprofits and schools across six counties in Middle Tennessee. Each monthly order provides nearly $2,000 in basic essential products per partner. Community Crisis & Disaster Relief In partnership with Nashville's Office of Emergency Management, the CRC serves as the ""materials manager"" for all disaster-related in-kind donations. The CRC supports all facets of the disaster response process including preparedness, immediate response and long-term recovery. This also includes community crises, such as COVID-19 and city-wide refugee resettlement efforts. Student Success Programming Through the Student Success Program, K-12 school staff members can request specific hygiene/household supplies for up to five student households per week. With this program, the CRC plays an integral role in our partner school districts' multi-tiered response to chronic absenteeism. Personal Care Pantries Personal Care Pantries contain hygiene and household cleaning supplies that are open to the public and provide access to non-food basic essentials. These pantries are located in select MNPS schools and in community-based resource centers serving select neighborhoods and/or population groups (seniors, refugees, veterans, etc.).","Clothing & Living Essentials, Disaster Relief & Preparedness",615-291-6688,hello@crcnashville.org,http://www.crcnashville.org/,"218 Omohundro Place, Nashville, TN 37210, USA",Nashville,TN,Closed; Mon - Fri10:00 AM -  5:00 PM (EDT); SatClosed; SunClosed,,success
Country Music Hall of Fame and Museum,https://www.givingconnection.org/locations/425,"Mission: Country Music Foundation, Inc., which operates the Country Music Hall of Fame and Museum, collects, preserves, and interprets the evolving history and traditions of country music. Through exhibits, publications, and educational programs, the Museum teaches its diverse audiences about the enduring beauty and cultural importance of country music. Services: Exhibitions The Museum presents and interprets its collection through relevant, engaging exhibits. Galleries showcase rigorous scholarship by prominent co-curating scholars and incorporate previously-unseen materials and artifacts. The Museum’s permanent exhibit, “Sing Me Back Home,” traces country’s history from its folk origins to its current popularity. Through artifacts, photographs, original recordings, archival video, films, touch-screen interactive media, and informational text panels, “Sing Me Back Home” immerses visitors in the history and sounds of country music, its meanings, and the lives and voices of many of its honored personalities. In addition to “Sing Me Back Home,” the Museum curated and presented 12 original exhibitions in 2018, featuring members of the Country Music Hall of Fame and contemporary artists, as well as thematic exhibitions that showcase Tennessee and country music’s impact on American art. School Programs The Country Music Hall of Fame and Museum delivers school programming in three ways: 1) Classroom visits to the Museum; 2) Museum and artist “outreach” visits to schools; 3) Distance learning. In total, these programs reach students annually, with Tennessee students comprising the vast majority of participants. School programs assist teachers in addressing Common Core, Tennessee State, and national curriculum standards in social studies, music, science, language arts, and visual art. In 2018, more than 650 school programs drew nearly 40,000 student visitors from throughout Tennessee. The Museum provides free programming, admission, and travel support to Metro Nashville Public Schools students. The Community Counts program extends free admission to Middle Tennessee K-12 students; provides a 25% discount for adults; and makes available a Community Counts Passport— which provides two adult admissions—at all 21 Nashville Public Library branches. Public Programs Public programs expand on the stories told through Museum exhibitions and offer audiences the opportunity to interact with songwriters, musicians, and artists. These programs feature richly layered media presentations that draw from the Museum’s collection, incorporating vintage sound recordings, photos, films, and videos to create exciting learning experiences for patrons. They also allow visitors to engage directly with people who created and lived the country music story, while giving the veterans themselves a chance to speak in their own voices about their roles in the music’s history. In 2018, more than 33,500 individuals attended 202 public programs. Programs featured songwriters, instrumentalists, artists, and business executives, and included interviews, panels, film screenings, dance instruction, and special performances. More than 50,000 people participated in interactive educational experiences in the Fred & Dinah Gretsch Family Gallery, while visiting the Museum.","Arts & Culture, Education",615-416-2001,info@countrymusichalloffame.org,http://www.countrymusichalloffame.org/,"222 Rep. John Lewis Way South, Nashville, TN 37203, USA",Nashville,TN,Closed; Mon - Fri11:00 AM -  7:00 PM (EDT); Sat11:00 AM -  7:00 PM  (EDT); Sun11:00 AM -  7:00 PM  (EDT),,success
